DocumentType;Country;Language;ISIN;DocumentConstraint;RecordDate;ChangeDate;Url;FileSize;Checksum;DisseminationRecipient
KID;GB;en;GB0001439610;YES;07/02/2020;14/02/2020;https://api.fundinfo.com/document/cb6a4621a55ff34791367801bace4a7a_310642/KID_GB_en_GB0001439610_YES_2020-02-07.pdf?apiKey=44f06e90-7d8a-420d-8bb3-3fea5c7bf125;310642;cb6a4621a55ff34791367801bace4a7a;
MR;GB;en;GB0001439610;RES;30/04/2020;03/06/2020;https://api.fundinfo.com/document/16f962995cba410c9b7df4c0cd962ced_519892/MR_GB_en_GB0001439610_RES_2020-04-30.pdf?apiKey=44f06e90-7d8a-420d-8bb3-3fea5c7bf125;519892;16f962995cba410c9b7df4c0cd962ced;
MR;GB;en;GB0001439610;YES;30/04/2020;04/06/2020;https://api.fundinfo.com/document/92fbb0f5232f293ecb44be819d88f862_283408/MR_GB_en_GB0001439610_YES_2020-04-30.pdf?apiKey=44f06e90-7d8a-420d-8bb3-3fea5c7bf125;283408;92fbb0f5232f293ecb44be819d88f862;
SID;GB;en;GB0001439610;YES;01/09/2016;04/10/2017;https://api.fundinfo.com/document/97a52bb39a5b35de016f583d771d6c83_120701/SID_GB_en_GB0001439610_YES_2016-09-01.pdf?apiKey=44f06e90-7d8a-420d-8bb3-3fea5c7bf125;120701;97a52bb39a5b35de016f583d771d6c83;
KID;GB;en;GB0001439727;YES;01/05/2020;07/05/2020;https://api.fundinfo.com/document/eef5690756886c1f227e2d84165b9e70_318620/KID_GB_en_GB0001439727_YES_2020-05-01.pdf?apiKey=44f06e90-7d8a-420d-8bb3-3fea5c7bf125;318620;eef5690756886c1f227e2d84165b9e70;
MR;GB;en;GB0001439727;YES;30/04/2020;04/06/2020;https://api.fundinfo.com/document/3024470be78097b6e9e38f3f09ac949c_282134/MR_GB_en_GB0001439727_YES_2020-04-30.pdf?apiKey=44f06e90-7d8a-420d-8bb3-3fea5c7bf125;282134;3024470be78097b6e9e38f3f09ac949c;
SID;GB;en;GB0001439727;YES;01/09/2016;04/10/2017;https://api.fundinfo.com/document/97a52bb39a5b35de016f583d771d6c83_120701/SID_GB_en_GB0001439727_YES_2016-09-01.pdf?apiKey=44f06e90-7d8a-420d-8bb3-3fea5c7bf125;120701;97a52bb39a5b35de016f583d771d6c83;
KID;GB;en;GB0001439834;YES;01/05/2020;07/05/2020;https://api.fundinfo.com/document/24bb5be9f8c70d8c229cfa5c87eaadf7_318997/KID_GB_en_GB0001439834_YES_2020-05-01.pdf?apiKey=44f06e90-7d8a-420d-8bb3-3fea5c7bf125;318997;24bb5be9f8c70d8c229cfa5c87eaadf7;
MR;GB;en;GB0001439834;YES;30/04/2020;04/06/2020;https://api.fundinfo.com/document/ab42da3e9d6f25bd6da1a707524c560a_282378/MR_GB_en_GB0001439834_YES_2020-04-30.pdf?apiKey=44f06e90-7d8a-420d-8bb3-3fea5c7bf125;282378;ab42da3e9d6f25bd6da1a707524c560a;
SID;GB;en;GB0001439834;YES;01/09/2016;04/10/2017;https://api.fundinfo.com/document/97a52bb39a5b35de016f583d771d6c83_120701/SID_GB_en_GB0001439834_YES_2016-09-01.pdf?apiKey=44f06e90-7d8a-420d-8bb3-3fea5c7bf125;120701;97a52bb39a5b35de016f583d771d6c83;
KID;GB;en;GB0001439941;YES;31/01/2020;11/02/2020;https://api.fundinfo.com/document/bca6b0466d3ccd3bd3b6dfb603add182_310222/KID_GB_en_GB0001439941_YES_2020-01-31.pdf?apiKey=44f06e90-7d8a-420d-8bb3-3fea5c7bf125;310222;bca6b0466d3ccd3bd3b6dfb603add182;
MR;GB;en;GB0001439941;RES;30/04/2020;03/06/2020;https://api.fundinfo.com/document/19e0863f083e9b105f0063338d60b43f_570284/MR_GB_en_GB0001439941_RES_2020-04-30.pdf?apiKey=44f06e90-7d8a-420d-8bb3-3fea5c7bf125;570284;19e0863f083e9b105f0063338d60b43f;
MR;GB;en;GB0001439941;YES;30/04/2020;04/06/2020;https://api.fundinfo.com/document/0f368d6a4d86984b5fccc57d3870db64_377582/MR_GB_en_GB0001439941_YES_2020-04-30.pdf?apiKey=44f06e90-7d8a-420d-8bb3-3fea5c7bf125;377582;0f368d6a4d86984b5fccc57d3870db64;
SID;GB;en;GB0001439941;YES;01/09/2016;04/10/2017;https://api.fundinfo.com/document/97a52bb39a5b35de016f583d771d6c83_120701/SID_GB_en_GB0001439941_YES_2016-09-01.pdf?apiKey=44f06e90-7d8a-420d-8bb3-3fea5c7bf125;120701;97a52bb39a5b35de016f583d771d6c83;
KID;GB;en;GB0001440949;YES;24/01/2020;31/01/2020;https://api.fundinfo.com/document/12c458117e13897dabec6a2b2813c5a0_309786/KID_GB_en_GB0001440949_YES_2020-01-24.pdf?apiKey=44f06e90-7d8a-420d-8bb3-3fea5c7bf125;309786;12c458117e13897dabec6a2b2813c5a0;
MR;GB;en;GB0001440949;RES;30/04/2020;03/06/2020;https://api.fundinfo.com/document/19e0863f083e9b105f0063338d60b43f_570284/MR_GB_en_GB0001440949_RES_2020-04-30.pdf?apiKey=44f06e90-7d8a-420d-8bb3-3fea5c7bf125;570284;19e0863f083e9b105f0063338d60b43f;
MR;GB;en;GB0001440949;YES;30/04/2020;04/06/2020;https://api.fundinfo.com/document/4f532b538c5f0f77ab2dc09f858f7ea2_377560/MR_GB_en_GB0001440949_YES_2020-04-30.pdf?apiKey=44f06e90-7d8a-420d-8bb3-3fea5c7bf125;377560;4f532b538c5f0f77ab2dc09f858f7ea2;
SID;GB;en;GB0001440949;YES;01/09/2016;04/10/2017;https://api.fundinfo.com/document/97a52bb39a5b35de016f583d771d6c83_120701/SID_GB_en_GB0001440949_YES_2016-09-01.pdf?apiKey=44f06e90-7d8a-420d-8bb3-3fea5c7bf125;120701;97a52bb39a5b35de016f583d771d6c83;
KID;GB;en;GB0001441020;YES;31/01/2020;07/02/2020;https://api.fundinfo.com/document/ae00130b8dc34f591991a2fb9d8d053b_310331/KID_GB_en_GB0001441020_YES_2020-01-31.pdf?apiKey=44f06e90-7d8a-420d-8bb3-3fea5c7bf125;310331;ae00130b8dc34f591991a2fb9d8d053b;
MR;GB;en;GB0001441020;RES;30/04/2020;03/06/2020;https://api.fundinfo.com/document/87d52769e43f381a6e1b1a61181e99b6_627389/MR_GB_en_GB0001441020_RES_2020-04-30.pdf?apiKey=44f06e90-7d8a-420d-8bb3-3fea5c7bf125;627389;87d52769e43f381a6e1b1a61181e99b6;
